RMSE,R^2 Adjusted,Features
29615.83641326995,0.8561685124444615,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Condition 2_PosA', 'Exterior 2nd_ImStucc', 'Lot Config_CulDSac', 'BsmtFin Type 2_Rec', 'Exterior 2nd_AsphShn', 'Bsmt Exposure_No', 'Kitchen AbvGr', 'Bsmt Exposure_Mn']"
29594.024322378184,0.8560975825245905,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bldg Type_Twnhs', 'BsmtFin Type 1_Rec', 'Sale Type_CWD', 'Garage Cond_Fa', 'Bsmt Exposure_Gd', 'Mas Vnr Type_CBlock', 'Neighborhood_NPkVill', 'Exterior 2nd_Stucco', 'Lot Frontage', 'Paved Drive_Y', 'Electrical_FuseP', 'Exterior 2nd_CmentBd']"
29609.6658675365,0.8560870733215757,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bsmt Exposure_No', 'Fireplaces', 'Garage Qual_Gd', 'Garage Qual_Po', 'Bsmt Cond_NA', 'Total Bsmt SF', 'Exterior 2nd_Other', 'Exterior 1st_HdBoard', 'Exterior 2nd_Other', 'Condition 2_RRAn']"
29602.634342125617,0.8560846615217486,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Kitchen Qual_TA', 'Bsmt Cond_Gd', 'MS Zoning_RL', 'MS Zoning_C (all)', 'House Style_SFoyer', 'Functional_Min2', 'Lot Area', 'Functional_Sev', 'BsmtFin SF 2', 'Functional_Maj2', 'Exter Qual_TA']"
29617.691865711415,0.8560798018773356,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Heating_Wall', 'Fireplace Qu_NA', 'Garage Type_Basment', 'Lot Config_FR2', 'Foundation_Slab', 'Kitchen Qual_TA', 'Neighborhood_OldTown', 'Bsmt Exposure_No', 'MS Zoning_RL']"
29626.35864255861,0.8559955612320073,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Sale Type_New', 'Fireplace Qu_Fa', 'Exterior 1st_CemntBd', 'Heating_GasW', 'Neighborhood_NridgHt', 'Sale Type_ConLI', 'Exterior 2nd_PreCast', 'Heating QC_Gd', 'Exterior 1st_HdBoard']"
29620.417003267732,0.8558407966205039,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bsmt Cond_Po', 'MS SubClass', 'Mo Sold', 'Functional_Sal', 'Year Remod/Add', 'Condition 2_RRAe', 'Heating_GasA', 'Exterior 2nd_Brk Cmn', 'Neighborhood_Timber', 'Kitchen Qual_TA', 'Misc Feature_TenC', 'Misc Feature_Shed']"
29638.34592746869,0.855737223192016,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'House Style_1Story', 'Garage Qual_Po', 'Exterior 1st_Stone', 'Condition 2_RRAn', 'Full Bath', 'Sale Type_New', 'Exter Cond_TA', 'Bldg Type_Duplex', 'Lot Config_FR3', 'Neighborhood_SawyerW', 'Total Bsmt SF']"
29646.97150274698,0.8557242090286159,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exter Qual_TA', 'Lot Shape_IR2', 'Land Contour_Low', 'Mas Vnr Type_CBlock', 'Neighborhood_Mitchel', 'Bldg Type_Duplex', 'Exterior 1st_AsphShn', 'Condition 1_RRNn', 'House Style_SLvl', 'Exterior 2nd_BrkFace']"
29665.731517332155,0.8556834657140107,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exterior 2nd_Other', 'Exter Cond_TA', 'Bsmt Exposure_Gd', 'MS Zoning_RL', '2nd Flr SF', 'Garage Finish_Unf', 'Land Slope_Sev', 'BsmtFin Type 1_LwQ']"
